subjid,prob,resp,strategy,instruction_nl,response_nl
631,3/5+2/5,5/5,"I got 5/5 or 1, because since both denominators were the same, they didn't add each other up and I multiplied 3 by 2 and that gave me 5, so I got my answer of 5/5 or 1",Solve this fraction problem: 3/5+2/5=?,"I got 5/5 or 1, because since both denominators were the same, they didn't add each other up and I multiplied 3 by 2 and that gave me 5, so I got my answer of 5/5 or 1
### answer: 5/5"
631,3/5+1/2,11/10,"I got my answer because I knew my denominators need to be the same,  so I times 2 by 5 and I times 5 by 2, but since I times the denominators I did the same for the numerators, so I times 1 by 5, and then times 3 by 2, and that gave me 11/10",Solve this fraction problem: 3/5+1/2=?,"I got my answer because I knew my denominators need to be the same,  so I times 2 by 5 and I times 5 by 2, but since I times the denominators I did the same for the numerators, so I times 1 by 5, and then times 3 by 2, and that gave me 11/10
### answer: 11/10"
631,3/5*2/5,6/25,"I figured this out by timesing the numerators of 3 and 2 to get 6, and I times the denominator of 5 and 5 to get 25",Solve this fraction problem: 3/5*2/5=?,"I figured this out by timesing the numerators of 3 and 2 to get 6, and I times the denominator of 5 and 5 to get 25
### answer: 6/25"
631,3/5*1/2,3/10,"I figured this out because I times 3 times 1 and that equals 3, so that was my numerator, and my denominator, I figured that out by timesing, because I times 5 by 2 to get 10",Solve this fraction problem: 3/5*1/2=?,"I figured this out because I times 3 times 1 and that equals 3, so that was my numerator, and my denominator, I figured that out by timesing, because I times 5 by 2 to get 10
### answer: 3/10"
631,3/5-2/5,1/5,"I got my answer by minusing 3/5 by 2/5 which gave me 1/5. I didn't change the denominator because the denominators stay the same, you don't do anything to it",Solve this fraction problem: 3/5-2/5=?,"I got my answer by minusing 3/5 by 2/5 which gave me 1/5. I didn't change the denominator because the denominators stay the same, you don't do anything to it
### answer: 1/5"
631,3/5-1/2,1/10,"Well first the denominators need to be the same, so I times 5 by 2 and 2 by 5, since I times the denominators by something I have to do th same for the numerators , so I times 5 by 1, and 2 by 3, that gave me 6/10 minus 5/10 and that equal 5/10",Solve this fraction problem: 3/5-1/2=?,"Well first the denominators need to be the same, so I times 5 by 2 and 2 by 5, since I times the denominators by something I have to do th same for the numerators , so I times 5 by 1, and 2 by 3, that gave me 6/10 minus 5/10 and that equal 5/10
### answer: 1/10"
632,3/5*2/5,6/25,"I timesed 3 by 2 to get 6, and 5 by 5 to get 25",Solve this fraction problem: 3/5*2/5=?,"I timesed 3 by 2 to get 6, and 5 by 5 to get 25
### answer: 6/25"
632,3/5-2/5,1/5,"I first got 1/5 because I minus 3 from 2 to get 1, then I both of the bottoms are 5 so I kept it a 5",Solve this fraction problem: 3/5-2/5=?,"I first got 1/5 because I minus 3 from 2 to get 1, then I both of the bottoms are 5 so I kept it a 5
### answer: 1/5"
633,3/5+2/5,1,"There was no need to change the denominator, and 3 and 2 the numerators added up to be exactly the same as the denominators so the answer was 1",Solve this fraction problem: 3/5+2/5=?,"There was no need to change the denominator, and 3 and 2 the numerators added up to be exactly the same as the denominators so the answer was 1
### answer: 1"
633,3/5+1/2,1 1/10,"By doing this I found the LCM in 3/5 and 1/2 which was 6/10 and 5/10, and then added them to get 1 1/10",Solve this fraction problem: 3/5+1/2=?,"By doing this I found the LCM in 3/5 and 1/2 which was 6/10 and 5/10, and then added them to get 1 1/10
### answer: 1 1/10"
633,3/5:1/2,1 1/5,"I changed my fractions to decimals, then divided them, and got my answer, changed it back to a fraction and got 1 1/5",Solve this fraction problem: 3/5:1/2=?,"I changed my fractions to decimals, then divided them, and got my answer, changed it back to a fraction and got 1 1/5
### answer: 1 1/5"
633,3/5:2/5,1 1/2,"I changed the fractions to decimals, and then divided these, and then changed my answer back to a fraction to get my answer",Solve this fraction problem: 3/5:2/5=?,"I changed the fractions to decimals, and then divided these, and then changed my answer back to a fraction to get my answer
### answer: 1 1/2"
633,3/5-2/5,1/5,I figured out that the denominators need not be changed on 3/5 and 2/5 but you must subtract the numerators which were 3 and 2 to equal 1/5 overall,Solve this fraction problem: 3/5-2/5=?,"I figured out that the denominators need not be changed on 3/5 and 2/5 but you must subtract the numerators which were 3 and 2 to equal 1/5 overall
### answer: 1/5"
633,3/5-1/2,1/10,I figured out that 3/5 and 1/2 need to have their denominators and numerators changed to fit the proper fraction so I multiplied 3/5 into 6/10 and 1/2 into 5/10 and then subtracted to get 1/10,Solve this fraction problem: 3/5-1/2=?,"I figured out that 3/5 and 1/2 need to have their denominators and numerators changed to fit the proper fraction so I multiplied 3/5 into 6/10 and 1/2 into 5/10 and then subtracted to get 1/10
### answer: 1/10"
636,3/5*1/2,3/10,I chose that because I divided 3 times 1 and then I divided 5 times 10.,Solve this fraction problem: 3/5*1/2=?,"I chose that because I divided 3 times 1 and then I divided 5 times 10.
### answer: 3/10"
638,3/5+2/5,1,"I added 3/5 and 2/5 and got 1 because I left the denominator 5 and 5 alone which gave me 5, and added the 3 and 2 of the numerator which got 5 also, and that would even out to 1",Solve this fraction problem: 3/5+2/5=?,"I added 3/5 and 2/5 and got 1 because I left the denominator 5 and 5 alone which gave me 5, and added the 3 and 2 of the numerator which got 5 also, and that would even out to 1
### answer: 1"
638,3/5-2/5,1/5,"First I took the numerators and subtracted them, 3 and 2 to get 1, and then I took the denominators and I kept them the same since they're both 5's and made it 1/5",Solve this fraction problem: 3/5-2/5=?,"First I took the numerators and subtracted them, 3 and 2 to get 1, and then I took the denominators and I kept them the same since they're both 5's and made it 1/5
### answer: 1/5"
639,3/5+2/5,5/5,"I took the lowest common denominator, which was 5, then added 3 plus 2 to get 5",Solve this fraction problem: 3/5+2/5=?,"I took the lowest common denominator, which was 5, then added 3 plus 2 to get 5
### answer: 5/5"
640,3/5+2/5,1,"I got one whole as my fraction because 3 plus 2 equals 5, and 5 plus 5 equals 0, and a fraction, or 5 I mean and a fraction, and if you add them together it'd equal one whole",Solve this fraction problem: 3/5+2/5=?,"I got one whole as my fraction because 3 plus 2 equals 5, and 5 plus 5 equals 0, and a fraction, or 5 I mean and a fraction, and if you add them together it'd equal one whole
### answer: 1"
640,3/5*2/5,6/25,"I got 6/25 because I multiplied 3 times 2 and that equals 6, and 5 times 5 equals 25, to get 6/25",Solve this fraction problem: 3/5*2/5=?,"I got 6/25 because I multiplied 3 times 2 and that equals 6, and 5 times 5 equals 25, to get 6/25
### answer: 6/25"
640,3/5*1/2,3/10,"I got 3/10 by multiplying 1 by 2, and 5 by 2, and that equals 3",Solve this fraction problem: 3/5*1/2=?,"I got 3/10 by multiplying 1 by 2, and 5 by 2, and that equals 3
### answer: 3/10"
641,3/5+2/5,5/5,3/5 plus 2/5 equals 5/5 because 3/5 plus 2/5 would also equal one whole,Solve this fraction problem: 3/5+2/5=?,"3/5 plus 2/5 equals 5/5 because 3/5 plus 2/5 would also equal one whole
### answer: 5/5"
641,3/5*1/2,3/10,"I decided that 3/5 times 1/2 equals 3/10 because 5 and 2 are not equal numbers but one number they could both be multiplied by is 10, and then you had an equal number on each fraction so then you can go ahead and multiply 3 and 1 which gave me 3/10",Solve this fraction problem: 3/5*1/2=?,"I decided that 3/5 times 1/2 equals 3/10 because 5 and 2 are not equal numbers but one number they could both be multiplied by is 10, and then you had an equal number on each fraction so then you can go ahead and multiply 3 and 1 which gave me 3/10
### answer: 3/10"
641,3/5-2/5,1/5,3/5 subtracted by 2/5 equals 1/5 because when you subtract 2/5 from 3/5 you'd get 1/5 because the bottom number was equal on both sides and then you can go ahead and subtract without having to figure out the same number,Solve this fraction problem: 3/5-2/5=?,"3/5 subtracted by 2/5 equals 1/5 because when you subtract 2/5 from 3/5 you'd get 1/5 because the bottom number was equal on both sides and then you can go ahead and subtract without having to figure out the same number
### answer: 1/5"
643,3/5+2/5,1,"First I added 3 plus 2 which equals 5, and I got 5/5, and that's one whole",Solve this fraction problem: 3/5+2/5=?,"First I added 3 plus 2 which equals 5, and I got 5/5, and that's one whole
### answer: 1"
643,3/5+1/2,1 1/10,I multiplied 3/5 by 2 to get 6/10 and I multiplied 1/2 by 5 and got 5/10 and I added that to get 11/10,Solve this fraction problem: 3/5+1/2=?,"I multiplied 3/5 by 2 to get 6/10 and I multiplied 1/2 by 5 and got 5/10 and I added that to get 11/10
### answer: 1 1/10"
643,3/5*2/5,6/25,"For this problem I multiplied 3 by 2 which equals 6, and 5 by 5 which equals 25, that is 6/25",Solve this fraction problem: 3/5*2/5=?,"For this problem I multiplied 3 by 2 which equals 6, and 5 by 5 which equals 25, that is 6/25
### answer: 6/25"
643,3/5*1/2,3/10,I multiplied 3/5 by 1/2 and got 3/10.,Solve this fraction problem: 3/5*1/2=?,"I multiplied 3/5 by 1/2 and got 3/10.
### answer: 3/10"
643,3/5-2/5,1/5,I subtracted 3/5 subtract 2/5 and got 1/5,Solve this fraction problem: 3/5-2/5=?,"I subtracted 3/5 subtract 2/5 and got 1/5
### answer: 1/5"
643,3/5-1/2,1/10,"I multiplied 3/5 by 2 and 1/2 by 5, and I got 6/10, subtract 5/10, and that equals 1/10",Solve this fraction problem: 3/5-1/2=?,"I multiplied 3/5 by 2 and 1/2 by 5, and I got 6/10, subtract 5/10, and that equals 1/10
### answer: 1/10"
809,3/5+2/5,1,"For trial 401, I gotyou do not have to find a common demonitor so you just add it across and I got 5 and 5/1 and I simplified it out and got 1.",Solve this fraction problem: 3/5+2/5=?,"For trial 401, I gotyou do not have to find a common demonitor so you just add it across and I got 5 and 5/1 and I simplified it out and got 1.
### answer: 1"
809,3/5+1/2,1 1/10,"For trial 402, I found a common denominator and it would be 10 and I took 5 and I times'ed it by 2 and 3 by 2. And I took the 2 and times'ed it by 5 and 1 by 2. I got 10 for... first of all I got 11 over 10 and simpliifed it out and got 1 1/10.",Solve this fraction problem: 3/5+1/2=?,"For trial 402, I found a common denominator and it would be 10 and I took 5 and I times'ed it by 2 and 3 by 2. And I took the 2 and times'ed it by 5 and 1 by 2. I got 10 for... first of all I got 11 over 10 and simpliifed it out and got 1 1/10.
### answer: 1 1/10"
809,3/5*2/5,6/25,"I multiplied 5, or 3 times 2 to get 6 and 5 times 5 to get 25. And you cannot simplify it.",Solve this fraction problem: 3/5*2/5=?,"I multiplied 5, or 3 times 2 to get 6 and 5 times 5 to get 25. And you cannot simplify it.
### answer: 6/25"
809,3/5*1/2,3/10,"For trial 602, I multiplied 3 times 1 to get 3 and 5 times 2 to get 10. And it cannot be simplified.",Solve this fraction problem: 3/5*1/2=?,"For trial 602, I multiplied 3 times 1 to get 3 and 5 times 2 to get 10. And it cannot be simplified.
### answer: 3/10"
809,3/5-2/5,1/5,"For trial 701, I got the answer 1/5 because I subtracted 3 minus 2 and I got 1 and 5 minus 5well, 5 would be your common denominator.",Solve this fraction problem: 3/5-2/5=?,"For trial 701, I got the answer 1/5 because I subtracted 3 minus 2 and I got 1 and 5 minus 5well, 5 would be your common denominator.
### answer: 1/5"
809,3/5-1/2,1/10,"For trial 702, I found a common denominator which would be 10, I, times 5 times 2 and I multiplied 2 times 5 and that would be the common denominator . And 3 times 2 is 6 and 1 times 2, or 1 times 5 is 5. And I subtracted it and got 1/10.",Solve this fraction problem: 3/5-1/2=?,"For trial 702, I found a common denominator which would be 10, I, times 5 times 2 and I multiplied 2 times 5 and that would be the common denominator . And 3 times 2 is 6 and 1 times 2, or 1 times 5 is 5. And I subtracted it and got 1/10.
### answer: 1/10"
810,3/5+2/5,5/5,"Um, for trial 401, I addedI added across since they already had common denominoator and got 5 over 5.",Solve this fraction problem: 3/5+2/5=?,"Um, for trial 401, I addedI added across since they already had common denominoator and got 5 over 5.
### answer: 5/5"
810,3/5+1/2,1 1/10,"Um, I found a common denominator and then added across and then you can' t have an improper fraction as an answer so I turned it into a mixed number, for 402.",Solve this fraction problem: 3/5+1/2=?,"Um, I found a common denominator and then added across and then you can' t have an improper fraction as an answer so I turned it into a mixed number, for 402.
### answer: 1 1/10"
810,3/5*2/5,6/25,"For trial 601, I just multiplied across. 3 over... 3 dividi 3 times 2 is 6, 5 times 5 is 25.",Solve this fraction problem: 3/5*2/5=?,"For trial 601, I just multiplied across. 3 over... 3 dividi 3 times 2 is 6, 5 times 5 is 25.
### answer: 6/25"
811,3/5+2/5,1,"For trial 401, uh again since I had common denominator I added the numerators and got 5 over 5 and a simplified version of 5 over 5 would be 1 so that was my answer.",Solve this fraction problem: 3/5+2/5=?,"For trial 401, uh again since I had common denominator I added the numerators and got 5 over 5 and a simplified version of 5 over 5 would be 1 so that was my answer.
### answer: 1"
811,3/5+1/2,1 1/10,"Uh for trial 402, I found common denominators uh and when I multiplied got 6/10 for the first fraction and 5/10 for the second. Uh when I added the numerators I got 11/10 and switched that to a mixed number giving me 1 and 1/10.",Solve this fraction problem: 3/5+1/2=?,"Uh for trial 402, I found common denominators uh and when I multiplied got 6/10 for the first fraction and 5/10 for the second. Uh when I added the numerators I got 11/10 and switched that to a mixed number giving me 1 and 1/10.
### answer: 1 1/10"
811,3/5:1/2,6/5,"Um for 501, uh I did the same method with multiplying by the reciprocal of the second fraction uh and I got fi6 over 5 and I couldn't simpli..well yea I could've made it a mixed number but I left it as an improper fraction again.",Solve this fraction problem: 3/5:1/2=?,"Um for 501, uh I did the same method with multiplying by the reciprocal of the second fraction uh and I got fi6 over 5 and I couldn't simpli..well yea I could've made it a mixed number but I left it as an improper fraction again.
### answer: 6/5"
811,3/5:2/5,3/2,"Uh for trial 502, um what I did was took the first fraction and to divide it by the second I flipped the second one to 5 over 2 and multiplied. Then I multiplied across and got 15 over 10 and when I simpified that it was 3 over 2. I couldn've probably made that a mixed number but I just left it as an improper.",Solve this fraction problem: 3/5:2/5=?,"Uh for trial 502, um what I did was took the first fraction and to divide it by the second I flipped the second one to 5 over 2 and multiplied. Then I multiplied across and got 15 over 10 and when I simpified that it was 3 over 2. I couldn've probably made that a mixed number but I just left it as an improper.
### answer: 3/2"
811,3/5*2/5,6/25,"For trial 601, uh the two thoughts I was having is to multiply the numerators and denominoators to get my answer. And the other was to cross multiply the 5 and the 2 and the 3 and the 5 but uh I had a stronger feeling it was the first method so that is what I put as my answer.",Solve this fraction problem: 3/5*2/5=?,"For trial 601, uh the two thoughts I was having is to multiply the numerators and denominoators to get my answer. And the other was to cross multiply the 5 and the 2 and the 3 and the 5 but uh I had a stronger feeling it was the first method so that is what I put as my answer.
### answer: 6/25"
811,3/5*1/2,3/10,"Um, for 602, uh I, there is something told me you don't need common denominators when multiplying fractions. So I multiplied across the numerators and the denominators giving me the answer.",Solve this fraction problem: 3/5*1/2=?,"Um, for 602, uh I, there is something told me you don't need common denominators when multiplying fractions. So I multiplied across the numerators and the denominators giving me the answer.
### answer: 3/10"
811,3/5-2/5,1/5,"For trial 701, since, um, the two fractions have common denominators, I had to go ahead in my mind to just subtract the top. Giving me 1/5.",Solve this fraction problem: 3/5-2/5=?,"For trial 701, since, um, the two fractions have common denominators, I had to go ahead in my mind to just subtract the top. Giving me 1/5.
### answer: 1/5"
811,3/5-1/2,1/10,"Um, for trial 702, uh since they.. The 5 and the 2 are not common denominators, I had to find it which would be 10. Um so to get uh 10 for the first fraction, multiplied both sides by 2 giving me 10 on the botom and 6 on the top. And for the second one, multiplied both by 5 giving me 10 on the bottom, 5 on the top.  And when I had common denominators, I subracted 6 minus 5 and got 1 over 10.",Solve this fraction problem: 3/5-1/2=?,"Um, for trial 702, uh since they.. The 5 and the 2 are not common denominators, I had to find it which would be 10. Um so to get uh 10 for the first fraction, multiplied both sides by 2 giving me 10 on the botom and 6 on the top. And for the second one, multiplied both by 5 giving me 10 on the bottom, 5 on the top.  And when I had common denominators, I subracted 6 minus 5 and got 1 over 10.
### answer: 1/10"
813,3/5+2/5,1,equals one whole because the 5s cancel out each other and it would be part of the fraction and 3 plus 2 would be 5 over 5 and that would be one whole.,Solve this fraction problem: 3/5+2/5=?,"equals one whole because the 5s cancel out each other and it would be part of the fraction and 3 plus 2 would be 5 over 5 and that would be one whole.
### answer: 1"
813,3/5+1/2,1 1/10,would equal 1 1/10 because 3/5 would equal 6/10 and 1/2 would equal 5/10 and the 10s cancel out on each other and would still be the denominator for the answer and 6 plus 5 would equal 11 and that would be changed to 1 1/10.,Solve this fraction problem: 3/5+1/2=?,"would equal 1 1/10 because 3/5 would equal 6/10 and 1/2 would equal 5/10 and the 10s cancel out on each other and would still be the denominator for the answer and 6 plus 5 would equal 11 and that would be changed to 1 1/10.
### answer: 1 1/10"
813,3/5:1/2,1 1/5,I used the criss-cross method. 3 times 2 would equal 6 and 5 times 1 would equal 5 and that new fraction would be 1 1/5.  would go to the numerator and the 5 times 1 would go to the denominator.,Solve this fraction problem: 3/5:1/2=?,"I used the criss-cross method. 3 times 2 would equal 6 and 5 times 1 would equal 5 and that new fraction would be 1 1/5.  would go to the numerator and the 5 times 1 would go to the denominator.
### answer: 1 1/5"
813,3/5:2/5,1 1/2,"I did the criss-cross method again. 3 times 5 would equal 15, it would go in the numerator, 5 times 2 would equal 10, it would go in the denominator. The new fraction would be 1 5/10, and reduce that to 1 1/2.",Solve this fraction problem: 3/5:2/5=?,"I did the criss-cross method again. 3 times 5 would equal 15, it would go in the numerator, 5 times 2 would equal 10, it would go in the denominator. The new fraction would be 1 5/10, and reduce that to 1 1/2.
### answer: 1 1/2"
813,3/5*2/5,6/25,equals 6/25 because I just multiplied across 3 times 2 and 5 times 5.,Solve this fraction problem: 3/5*2/5=?,"equals 6/25 because I just multiplied across 3 times 2 and 5 times 5.
### answer: 6/25"
813,3/5*1/2,3/10,equals 3/10 because I just multiplied across 3 times 1 equals 3 and 5 times 2 equals 10.,Solve this fraction problem: 3/5*1/2=?,"equals 3/10 because I just multiplied across 3 times 1 equals 3 and 5 times 2 equals 10.
### answer: 3/10"
813,3/5-2/5,1/5,"would equal 1/5 because the 5s would cancel out each other and would stay the same, for the denominator, and 3 minus 2 would equal 1.",Solve this fraction problem: 3/5-2/5=?,"would equal 1/5 because the 5s would cancel out each other and would stay the same, for the denominator, and 3 minus 2 would equal 1.
### answer: 1/5"
813,3/5-1/2,1/10,I changed 3/5 to 6/10 and 1/2 to 5/10 and 6/10 minus 5/10 would equal 1/10.,Solve this fraction problem: 3/5-1/2=?,"I changed 3/5 to 6/10 and 1/2 to 5/10 and 6/10 minus 5/10 would equal 1/10.
### answer: 1/10"
814,3/5-2/5,1/5,First I would subtract 3 minus 2 so it would be 1/5.,Solve this fraction problem: 3/5-2/5=?,"First I would subtract 3 minus 2 so it would be 1/5.
### answer: 1/5"
814,3/5-1/2,1/10,"5 times 2 to make the denominators equal which would make it 10. 2 times 3 to make it 6 and then 5 times 1 would make it 5, so it'd be 6/10 and 5/10. I take 5 out of 6 which would make it 1/10.",Solve this fraction problem: 3/5-1/2=?,"5 times 2 to make the denominators equal which would make it 10. 2 times 3 to make it 6 and then 5 times 1 would make it 5, so it'd be 6/10 and 5/10. I take 5 out of 6 which would make it 1/10.
### answer: 1/10"
815,3/5+2/5,1,"I decided that in trial 401, I needed to make sure that the denominators of the fractions were the same and they were so I added the numerators together and kept the denominator the same and it came out to be 5 over 5 so I simplified it to 1.",Solve this fraction problem: 3/5+2/5=?,"I decided that in trial 401, I needed to make sure that the denominators of the fractions were the same and they were so I added the numerators together and kept the denominator the same and it came out to be 5 over 5 so I simplified it to 1.
### answer: 1"
815,3/5+1/2,11/10,"I decided that in trial 402, I needed to make sure that the denominators were the same and they weren't so I had to find a common decominator which was 10. And then I added the numerators together to get 11 over 10.",Solve this fraction problem: 3/5+1/2=?,"I decided that in trial 402, I needed to make sure that the denominators were the same and they weren't so I had to find a common decominator which was 10. And then I added the numerators together to get 11 over 10.
### answer: 11/10"
815,3/5:1/2,6/5,"I decided that in trial 105, in order to divide the fracton, I had to find the reciprocol of the second fraction which would make 1/2 2 over 1 then I mulitplied the numer.. Numerators and denominators together and that equaledto get 6 over 5.",Solve this fraction problem: 3/5:1/2=?,"I decided that in trial 105, in order to divide the fracton, I had to find the reciprocol of the second fraction which would make 1/2 2 over 1 then I mulitplied the numer.. Numerators and denominators together and that equaledto get 6 over 5.
### answer: 6/5"
815,3/5:2/5,15/10,"I decided that in trial 502, in order to solve a division fraction problem, I had to find the reciprocol of the second fraction which was then equal to 5 over 2 and I multipled my numerators and denominators and came up with 15 over 10.",Solve this fraction problem: 3/5:2/5=?,"I decided that in trial 502, in order to solve a division fraction problem, I had to find the reciprocol of the second fraction which was then equal to 5 over 2 and I multipled my numerators and denominators and came up with 15 over 10.
### answer: 15/10"
815,3/5*2/5,6/25,"For trial 601, my answer was 6 over 25 because I multiplied the numerators which were 3 times 2 equals 6 and the denominators were 5 times 5 equals 25.",Solve this fraction problem: 3/5*2/5=?,"For trial 601, my answer was 6 over 25 because I multiplied the numerators which were 3 times 2 equals 6 and the denominators were 5 times 5 equals 25.
### answer: 6/25"
815,3/5*1/2,3/10,"For trial 602, I got 3 over 10 because the numerators 3 times 1 equals 3 and the denominators 3 times, I mean 5 times 2 equals 10.",Solve this fraction problem: 3/5*1/2=?,"For trial 602, I got 3 over 10 because the numerators 3 times 1 equals 3 and the denominators 3 times, I mean 5 times 2 equals 10.
### answer: 3/10"
815,3/5-2/5,1/5,"I decided that in trial 701, in order to solve the subtraction fraction problem, I had to make sure that there were common denominators which there were so I took 3 fifths minus 2 fifths equals 1 fifth.",Solve this fraction problem: 3/5-2/5=?,"I decided that in trial 701, in order to solve the subtraction fraction problem, I had to make sure that there were common denominators which there were so I took 3 fifths minus 2 fifths equals 1 fifth.
### answer: 1/5"
815,3/5-1/2,1/10,"I decided that in trial 702, in order to solve the subtraction fraction problem I had to find a common denominator and my common denominator was 10 and so the problem came out to be 6 tenths minus 5 tenths equals 1 tenth.",Solve this fraction problem: 3/5-1/2=?,"I decided that in trial 702, in order to solve the subtraction fraction problem I had to find a common denominator and my common denominator was 10 and so the problem came out to be 6 tenths minus 5 tenths equals 1 tenth.
### answer: 1/10"
816,3/5+2/5,5/5,"For the fractions, I added the top numbers, kept the bottom numbers the same. Because if they're the same number, you keep it the same and then you add the top numbers.",Solve this fraction problem: 3/5+2/5=?,"For the fractions, I added the top numbers, kept the bottom numbers the same. Because if they're the same number, you keep it the same and then you add the top numbers.
### answer: 5/5"
816,3/5-2/5,1/5,"For trial 701, I put 1/5 because I I subtracted 3 minus 2 and kept the bottom number the same because theyr'e both 5 and 5.",Solve this fraction problem: 3/5-2/5=?,"For trial 701, I put 1/5 because I I subtracted 3 minus 2 and kept the bottom number the same because theyr'e both 5 and 5.
### answer: 1/5"
818,3/5:1/2,6/5,I did 3 times 2 is 6 and then I did 5 times 1 is 5 and then I put 6 over 5 and eigh6 over 5.,Solve this fraction problem: 3/5:1/2=?,"I did 3 times 2 is 6 and then I did 5 times 1 is 5 and then I put 6 over 5 and eigh6 over 5.
### answer: 6/5"
818,3/5:2/5,3/2,Trial 502. I multiplied 5 times 3 is 15 and 5 times 2 is 10 and then I divided by 5.,Solve this fraction problem: 3/5:2/5=?,"Trial 502. I multiplied 5 times 3 is 15 and 5 times 2 is 10 and then I divided by 5.
### answer: 3/2"
820,3/5+2/5,1,"For trial 401, um 5 and 5 is in the denominator so I kept that the same but when I added uh si..or 3 and 2 were 5 and 5 over 5 would equal 1 so I pjust put 1.",Solve this fraction problem: 3/5+2/5=?,"For trial 401, um 5 and 5 is in the denominator so I kept that the same but when I added uh si..or 3 and 2 were 5 and 5 over 5 would equal 1 so I pjust put 1.
### answer: 1"
820,3/5+1/2,1 1/10,"For trial 402, I found a common denominator for 5 and 2 which would be 10 so I made the denominator 10. When I added 5 and 6, I got 11/10 but since that is an improper fraction, I had to change it to a mixed number and I got 1 and 1/10",Solve this fraction problem: 3/5+1/2=?,"For trial 402, I found a common denominator for 5 and 2 which would be 10 so I made the denominator 10. When I added 5 and 6, I got 11/10 but since that is an improper fraction, I had to change it to a mixed number and I got 1 and 1/10
### answer: 1 1/10"
820,3/5*2/5,6/25,"For trial 601, um, for multiplying I just cross multiplied. Multipled 3 by 2 to get 6, 5 times 5 to get 25.",Solve this fraction problem: 3/5*2/5=?,"For trial 601, um, for multiplying I just cross multiplied. Multipled 3 by 2 to get 6, 5 times 5 to get 25.
### answer: 6/25"
