problem_id,problem_set_id,problem_part,problem_type,answer_types,normalized_text,math_preserving_text,answer_key,domain_family,node_codes,node_names,total_interactions,unique_students,clean_first_attempt_interactions,nonempty_answer_count,saw_answer_rate,mean_hint_count,discrete_score_mean,top_answer_surfaces_json,split,reason_codes
682,PSBFF,3,Fill-in-the-blank(s),Numeric,"Diego has $11 and begins saving $5 each week toward buying a new phone. At the same time that Diego begins saving, Lin has $60 and begins spending $2 per week on supplies for her art class. How much money do they have at that time? $","Diego has $11 and begins saving $5 each week toward buying a new phone. At the same time that Diego begins saving, Lin has $60 and begins spending $2 per week on supplies for her art class. How much money do they have at that time? $",46,equation_algebra,8.EE.C.8c,Solve Systems of Linear Equations Word Problems,792,783,583,792,0.2638888888888889,0.034090909090909,0.6338383838383839,"[{""answer_norm"": ""46"", ""n"": 573}, {""answer_norm"": ""36"", ""n"": 56}, {""answer_norm"": ""49"", ""n"": 28}, {""answer_norm"": ""74"", ""n"": 20}, {""answer_norm"": ""35"", ""n"": 10}]",model_dev,
1195,PRABEVSZ,1,Fill-in-the-blank(s),Algebraic Expression,"There are 16 cups in a gallon. The equation c = 16 g gives the number of cups in terms of the number of gallons. Write another equation for this situation, giving the number of gallons in terms of the number of cups: g = Use c as your variable.","There are 16 cups in a gallon. The equation c = 16 g gives the number of cups in terms of the number of gallons. Write another equation for this situation, giving the number of gallons in terms of the number of cups: g = Use c as your variable.",1/16c,ratio_percent,7.RP.A.2c,Represent Proportional Relationships with Equations,83,79,60,83,0.2771084337349397,0.216867469879518,0.3734939759036144,"[{""answer_norm"": ""16c"", ""n"": 23}, {""answer_norm"": ""c/16"", ""n"": 23}, {""answer_norm"": ""1/16c"", ""n"": 16}, {""answer_norm"": ""256c"", ""n"": 3}, {""answer_norm"": ""16/c"", ""n"": 2}]",model_dev,
1468,PRABEVDE,1,Fill-in-the-blank(s),Numeric,A right rectangular prism has a volume of 30 cubic inches. Its length is 1 3 inch and its width is 3 feet. What is its height in inches? inches,A right rectangular prism has a volume of 30 cubic inches. Its length is 1 / 3 inch and its width is 3 feet. What is its height in inches? inches,2.5,fraction,6.G.A.2,Find the Volume of Rectangular Prisms with Fractional Sides,142,142,96,142,0.3169014084507042,0.0845070422535211,0.1126760563380281,"[{""answer_norm"": ""30"", ""n"": 36}, {""answer_norm"": ""10"", ""n"": 19}, {""answer_norm"": ""2.5"", ""n"": 16}, {""answer_norm"": ""5/2"", ""n"": 15}, {""answer_norm"": ""1"", ""n"": 8}]",model_dev,
1638,PSBN4,1,Fill-in-the-blank(s),Numeric,"A bag contains 150 marbles. Some are blue, and the rest are white. There are 21 blue marbles for every 4 white marbles. How many blue marbles are in the bag? blue marbles","A bag contains 150 marbles. Some are blue, and the rest are white. There are 21 blue marbles for every 4 white marbles. How many blue marbles are in the bag? blue marbles",126,ratio_percent,6.RP.A.3b,Solve Unit Rate Problems,56,42,53,56,0.0535714285714285,0.0714285714285714,0.4821428571428571,"[{""answer_norm"": ""126"", ""n"": 28}, {""answer_norm"": ""84"", ""n"": 5}, {""answer_norm"": ""120"", ""n"": 2}, {""answer_norm"": ""129"", ""n"": 2}, {""answer_norm"": ""5.25"", ""n"": 2}]",model_dev,
2532,PSBXG,2,Fill-in-the-blank(s),Numeric,What is the scale factor?,What is the scale factor?,3,ratio_percent,7.G.A.1,Solve Scale Drawing Problems,1028,1017,605,1028,0.4046692607003891,0.036964980544747,0.4747081712062256,"[{""answer_norm"": ""3"", ""n"": 585}, {""answer_norm"": ""30"", ""n"": 68}, {""answer_norm"": ""2"", ""n"": 59}, {""answer_norm"": ""10"", ""n"": 49}, {""answer_norm"": ""4"", ""n"": 28}]",test,
2695,PSBYY,1,Fill-in-the-blank(s),Numeric,Evaluate the expression. 11 - 4.9,Evaluate the expression. 11 - 4.9,6.1,ratio_percent,5.NBT.B.7,Compute Decimal Problems Involving All 4 Operations,19,19,19,19,0.0,0.0,0.9473684210526316,"[{""answer_norm"": ""6.1"", ""n"": 18}, {""answer_norm"": ""2.24"", ""n"": 1}]",validation,
2812,PSBYY,2,Fill-in-the-blank(s),Numeric,Evaluate the expression. 7 - 0.18,Evaluate the expression. 7 - 0.18,6.82,ratio_percent,5.NBT.B.7,Compute Decimal Problems Involving All 4 Operations,19,19,19,19,0.0,0.0,0.8947368421052632,"[{""answer_norm"": ""6.82"", ""n"": 17}, {""answer_norm"": ""6.88"", ""n"": 1}, {""answer_norm"": ""7.82"", ""n"": 1}]",validation,
2930,PSBYY,3,Fill-in-the-blank(s),Numeric,Evaluate the expression. 13.23 + 2.67,Evaluate the expression. 13.23 + 2.67,15.9,ratio_percent,5.NBT.B.7,Compute Decimal Problems Involving All 4 Operations,19,19,19,19,0.0,0.0,0.8421052631578947,"[{""answer_norm"": ""15.9"", ""n"": 11}, {""answer_norm"": ""15.90"", ""n"": 5}, {""answer_norm"": ""15.94"", ""n"": 1}, {""answer_norm"": ""15.95"", ""n"": 1}, {""answer_norm"": ""16"", ""n"": 1}]",validation,
3036,PSBYY,4,Fill-in-the-blank(s),Numeric,Evaluate the expression. 6.08 + 2.02,Evaluate the expression. 6.08 + 2.02,8.1,ratio_percent,5.NBT.B.7,Compute Decimal Problems Involving All 4 Operations,19,19,19,19,0.0,0.0,0.8947368421052632,"[{""answer_norm"": ""8.1"", ""n"": 13}, {""answer_norm"": ""8.10"", ""n"": 4}, {""answer_norm"": ""4.06"", ""n"": 1}, {""answer_norm"": ""9"", ""n"": 1}]",validation,
3098,PSB2A,1,Fill-in-the-blank(s),Numeric,It takes Andre 4 minutes to swim 5 laps. How many laps per minute is that? laps per minute,It takes Andre 4 minutes to swim 5 laps. How many laps per minute is that? laps per minute,1.25,ratio_percent,6.RP.A.2 | 6.RP.A.3b,Understand & Describe Unit Rate | Solve Unit Rate Problems,157,114,141,157,0.0764331210191082,0.1210191082802547,0.554140127388535,"[{""answer_norm"": ""1.25"", ""n"": 74}, {""answer_norm"": ""0.8"", ""n"": 17}, {""answer_norm"": ""1 1/4"", ""n"": 10}, {""answer_norm"": ""20"", ""n"": 9}, {""answer_norm"": ""5/4"", ""n"": 8}]",model_dev,
3201,PSBYY,5,Fill-in-the-blank(s),Numeric,Evaluate the expression. 35 - 0.02,Evaluate the expression. 35 - 0.02,34.98,ratio_percent,5.NBT.B.7,Compute Decimal Problems Involving All 4 Operations,19,19,19,19,0.0,0.0,0.8421052631578947,"[{""answer_norm"": ""34.98"", ""n"": 16}, {""answer_norm"": ""34.08"", ""n"": 2}, {""answer_norm"": ""24.98"", ""n"": 1}]",validation,
3256,PSB2A,2,Fill-in-the-blank(s),Numeric,It takes Andre 4 minutes to swim 5 laps. How many minutes per lap is that? minutes per lap,It takes Andre 4 minutes to swim 5 laps. How many minutes per lap is that? minutes per lap,5-Apr,ratio_percent,6.RP.A.3b,Solve Unit Rate Problems,157,114,141,157,0.0573248407643312,0.1337579617834395,0.4331210191082802,"[{""answer_norm"": ""0.8"", ""n"": 50}, {""answer_norm"": ""1.25"", ""n"": 22}, {""answer_norm"": ""1"", ""n"": 16}, {""answer_norm"": ""4/5"", ""n"": 9}, {""answer_norm"": "".8"", ""n"": 8}]",model_dev,
3418,PSB2A,3,Fill-in-the-blank(s),Numeric,"If Andre swims 22 laps at the same rate, how long does it take him? minutes","If Andre swims 22 laps at the same rate, how long does it take him? minutes",17.6,ratio_percent,6.RP.A.3b,Solve Unit Rate Problems,157,114,132,157,0.0891719745222929,0.2229299363057325,0.2993630573248407,"[{""answer_norm"": ""17.6"", ""n"": 53}, {""answer_norm"": ""27.5"", ""n"": 15}, {""answer_norm"": ""21"", ""n"": 5}, {""answer_norm"": ""18"", ""n"": 4}, {""answer_norm"": ""20"", ""n"": 4}]",model_dev,
4344,PRABQMXP,1,Fill-in-the-blank(s),Numeric,"Noah and Andre are 15 miles apart on a bike path when they start biking toward each other. Noah rides at a constant speed of 4 miles per hour, and Andre rides at a constant speed of 2 miles per hour. How long does it take until Noah and Andre meet? hours","Noah and Andre are 15 miles apart on a bike path when they start biking toward each other. Noah rides at a constant speed of 4 miles per hour, and Andre rides at a constant speed of 2 miles per hour. How long does it take until Noah and Andre meet? hours",2.5,ratio_percent,6.RP.A.3b,Solve Unit Rate Problems,150,111,122,150,0.14,0.3133333333333333,0.3466666666666667,"[{""answer_norm"": ""2.5"", ""n"": 44}, {""answer_norm"": ""2 1/2"", ""n"": 14}, {""answer_norm"": ""2"", ""n"": 9}, {""answer_norm"": ""8"", ""n"": 8}, {""answer_norm"": ""7.5"", ""n"": 7}]",model_dev,
4480,PRABEPVY,1,Fill-in-the-blank(s),Numeric,"Quadrilateral A has side lengths 6, 9, 9, and 12. Quadrilateral B is a scaled copy of Quadrilateral A, with its shortest side of length 2. What is the perimeter of Quadrilateral B?","Quadrilateral A has side lengths 6, 9, 9, and 12. Quadrilateral B is a scaled copy of Quadrilateral A, with its shortest side of length 2. What is the perimeter of Quadrilateral B?",12,ratio_percent,7.G.A.1,Solve Scale Drawing Problems,1407,1369,883,1407,0.3560767590618336,0.1236673773987206,0.5110163468372424,"[{""answer_norm"": ""12"", ""n"": 891}, {""answer_norm"": ""3"", ""n"": 92}, {""answer_norm"": ""14"", ""n"": 34}, {""answer_norm"": ""1/3"", ""n"": 31}, {""answer_norm"": ""18"", ""n"": 28}]",test,
5236,PSBBC3,1,Fill-in-the-blank(s),Numeric,"Three sixth-grade classes raised $25.50, $49.75, and $37.25 for their classroom libraries. They agreed to share the money raised equally. What is each class’s equal share? $","Three sixth-grade classes raised $25.50, $49.75, and $37.25 for their classroom libraries. They agreed to share the money raised equally. What is each class’s equal share? $",37.5,statistics_probability,6.SP.B.5c,Give & Describe Quantitative Measures of Center & Variability,682,672,571,682,0.1466275659824047,0.0894428152492668,0.7111436950146628,"[{""answer_norm"": ""37.5"", ""n"": 310}, {""answer_norm"": ""37.50"", ""n"": 222}, {""answer_norm"": ""112.5"", ""n"": 28}, {""answer_norm"": ""112.50"", ""n"": 18}, {""answer_norm"": ""37.05"", ""n"": 5}]",model_dev,
6006,PSBBH8,1,Fill-in-the-blank(s),Numeric,"Noah scored 20 points in a game. Mai's score was 30 points. The mean score for Noah, Mai, and Clare was 40 points. What was Clare's score? points","Noah scored 20 points in a game. Mai's score was 30 points. The mean score for Noah, Mai, and Clare was 40 points. What was Clare's score? points",70,statistics_probability,6.SP.B.5c,Give & Describe Quantitative Measures of Center & Variability,500,500,366,500,0.248,0.214,0.522,"[{""answer_norm"": ""70"", ""n"": 283}, {""answer_norm"": ""30"", ""n"": 42}, {""answer_norm"": ""10"", ""n"": 33}, {""answer_norm"": ""50"", ""n"": 30}, {""answer_norm"": ""60"", ""n"": 27}]",model_dev,
6562,PSBBM6,1,Fill-in-the-blank(s),Numeric,"Imagine a large, solid cube made out of 64 white snap cubes. Someone spray paints all 6 faces of the large cube blue. After the paint dries, they disassemble the large cube into a pile of 64 snap cubes. How many of those 64 snap cubes have exactly 2 faces that are blue? snap cubes","Imagine a large, solid cube made out of 64 white snap cubes. Someone spray paints all 6 faces of the large cube blue. After the paint dries, they disassemble the large cube into a pile of 64 snap cubes. How many of those 64 snap cubes have exactly 2 faces that are blue? snap cubes",24,geometry_measurement,7.G.B.6,"Find Area, Volume & Surface Area of 2D/3D Objects",2,2,2,2,0.0,0.0,0.5,"[{""answer_norm"": ""24"", ""n"": 1}, {""answer_norm"": ""66"", ""n"": 1}]",validation,
7096,PSBBP6,1,Fill-in-the-blank(s),Numeric,"Four runners are training for long races. Noah ran 5.123 miles, Andre ran 6.34 miles, Jada ran 7.1 miles, and Diego ran 8 miles. What is the total running distance of the four runners? miles","Four runners are training for long races. Noah ran 5.123 miles, Andre ran 6.34 miles, Jada ran 7.1 miles, and Diego ran 8 miles. What is the total running distance of the four runners? miles",26.563,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",30,30,27,30,0.1,0.0,0.7666666666666667,"[{""answer_norm"": ""26.563"", ""n"": 24}, {""answer_norm"": ""18.323"", ""n"": 1}, {""answer_norm"": ""18.557"", ""n"": 1}, {""answer_norm"": ""18.563"", ""n"": 1}, {""answer_norm"": ""26.463"", ""n"": 1}]",model_dev,
7158,PSBBSR,2,Fill-in-the-blank(s),Numeric,If the volume of each prism is 60 units 3 what would be the height of prism A? units,If the volume of each prism is 60 units^(3) what would be the height of prism A? units,7.5,geometry_measurement,7.G.A.3,Describe 2D Cross Sections of 3D figures,71,71,61,71,0.1267605633802817,0.1690140845070422,0.8169014084507042,"[{""answer_norm"": ""7.5"", ""n"": 66}, {""answer_norm"": ""10"", ""n"": 2}, {""answer_norm"": ""2"", ""n"": 1}, {""answer_norm"": ""3"", ""n"": 1}, {""answer_norm"": ""6.67"", ""n"": 1}]",model_dev,
7207,PSBBP6,2,Fill-in-the-blank(s),Numeric,"Four runners are training for long races. Noah ran 5.123 miles, Andre ran 6.34 miles, Jada ran 7.1 miles, and Diego ran 8 miles. Jada ran how much farther than Noah? miles","Four runners are training for long races. Noah ran 5.123 miles, Andre ran 6.34 miles, Jada ran 7.1 miles, and Diego ran 8 miles. Jada ran how much farther than Noah? miles",1.977,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",30,30,26,30,0.1333333333333333,0.0,0.5666666666666667,"[{""answer_norm"": ""1.977"", ""n"": 18}, {""answer_norm"": ""2.023"", ""n"": 3}, {""answer_norm"": ""0.9"", ""n"": 1}, {""answer_norm"": ""0.987"", ""n"": 1}, {""answer_norm"": ""1.217"", ""n"": 1}]",model_dev,
7280,PSBBSR,3,Fill-in-the-blank(s),Numeric,If the volume of each prism is 60 units 3 what would be the height of prism B? units,If the volume of each prism is 60 units^(3) what would be the height of prism B? units,10,geometry_measurement,7.G.A.3,Describe 2D Cross Sections of 3D figures,71,71,61,71,0.1126760563380281,0.1971830985915492,0.7605633802816901,"[{""answer_norm"": ""10"", ""n"": 58}, {""answer_norm"": ""7.5"", ""n"": 2}, {""answer_norm"": ""11"", ""n"": 1}, {""answer_norm"": ""12"", ""n"": 1}, {""answer_norm"": ""13.33"", ""n"": 1}]",model_dev,
7369,PSBBRP,1,Fill-in-the-blank(s),Numeric,Calculate the difference. 13 . 2 − 1 . 78,Calculate the difference. 13.2 - 1.78,11.42,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",799,783,699,799,0.1063829787234042,0.0876095118898623,0.7672090112640801,"[{""answer_norm"": ""11.42"", ""n"": 648}, {""answer_norm"": ""14.98"", ""n"": 26}, {""answer_norm"": ""12.42"", ""n"": 15}, {""answer_norm"": ""11.32"", ""n"": 14}, {""answer_norm"": ""11.58"", ""n"": 12}]",test,
7381,PSBBRG,1,Fill-in-the-blank(s),Numeric,One way to compute a 15% tip for a bill is to multiply it by 0.15. A restaurant bill was $42.40. Calculate the tip. $,One way to compute a 15% tip for a bill is to multiply it by 0.15. A restaurant bill was $42.40. Calculate the tip. $,6.36,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",28,28,24,28,0.1428571428571428,0.0,0.5714285714285714,"[{""answer_norm"": ""6.36"", ""n"": 18}, {""answer_norm"": ""6.3600"", ""n"": 2}, {""answer_norm"": ""2.5440"", ""n"": 1}, {""answer_norm"": ""216.240"", ""n"": 1}, {""answer_norm"": ""254.40"", ""n"": 1}]",validation,
7407,PSBBSR,4,Fill-in-the-blank(s),Numeric,If the volume of each prism is 60 units 3 what would be the height of prism C? units,If the volume of each prism is 60 units^(3) what would be the height of prism C? units,5,geometry_measurement,7.G.A.3,Describe 2D Cross Sections of 3D figures,71,71,51,71,0.2112676056338028,0.4929577464788732,0.4084507042253521,"[{""answer_norm"": ""5"", ""n"": 34}, {""answer_norm"": ""4.28"", ""n"": 8}, {""answer_norm"": ""4.29"", ""n"": 8}, {""answer_norm"": ""4.3"", ""n"": 6}, {""answer_norm"": ""4"", ""n"": 5}]",model_dev,
7514,PSBBSR,5,Fill-in-the-blank(s),Numeric,If the volume of each prism is 60 units 3 what would be the height of prism D? units,If the volume of each prism is 60 units^(3) what would be the height of prism D? units,12,geometry_measurement,7.G.A.3,Describe 2D Cross Sections of 3D figures,71,71,64,71,0.0985915492957746,0.0845070422535211,0.8591549295774648,"[{""answer_norm"": ""12"", ""n"": 67}, {""answer_norm"": ""10"", ""n"": 1}, {""answer_norm"": ""12.5"", ""n"": 1}, {""answer_norm"": ""15"", ""n"": 1}, {""answer_norm"": ""3"", ""n"": 1}]",model_dev,
7635,PSBBT7,1,Fill-in-the-blank(s),Numeric,"Han found a way to compute complicated expressions more easily. Since 2 ⋅ 5 = 10 , he looks for pairings of 2s and 5s that he knows equal 10. For example, 3 · 2 4 · 5 5 = 3 · 2 4 · 5 4 · 5 = ( 3 · 5 ) · ( 2 · 5 ) 4 = 15 · 10 4 = 150 , 000. Use Han's technique to compute the following: 2 4 · 5 · ( 3 · 5 ) 3","Han found a way to compute complicated expressions more easily. Since 2 * 5 = 10, he looks for pairings of 2s and 5s that he knows equal 10. For example, 3 * 2^(4) * 5^(5) = 3 * 2^(4) * 5^(4) * 5 = (3 * 5) * (2 * 5)^(4) = 15 * 10^(4) = 150, 000. Use Han's technique to compute the following: 2^(4) * 5 * (3 * 5)^(3)",270000,equation_algebra,8.EE.A.1,Know & Apply Properties of Exponents,666,664,435,666,0.3363363363363363,0.2207207207207207,0.5645645645645646,"[{""answer_norm"": ""270000"", ""n"": 403}, {""answer_norm"": ""270,000"", ""n"": 132}, {""answer_norm"": ""27000"", ""n"": 12}, {""answer_norm"": ""30000"", ""n"": 8}, {""answer_norm"": ""180,000"", ""n"": 6}]",model_dev,
7710,PSBBTU,1,Fill-in-the-blank(s),Numeric,Calculate the difference. 23 . 11 − 0 . 376,Calculate the difference. 23.11 - 0.376,22.734,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",762,747,683,762,0.0984251968503937,0.0354330708661417,0.7939632545931758,"[{""answer_norm"": ""22.734"", ""n"": 634}, {""answer_norm"": ""22.624"", ""n"": 11}, {""answer_norm"": ""22.73400"", ""n"": 11}, {""answer_norm"": ""23.734"", ""n"": 6}, {""answer_norm"": ""22.374"", ""n"": 4}]",model_dev,
7859,PRABEQAV,1,Fill-in-the-blank(s),Numeric,"a and b represent the length of a leg of a right triangle, and c represents the length of its hypotenuse. Find the missing length, given the other two lengths. a = 12 , b = 5 , c = ? c =","a and b represent the length of a leg of a right triangle, and c represents the length of its hypotenuse. Find the missing length, given the other two lengths. a = 12, b = 5, c = ? c =",13,geometry_measurement,8.G.B.7,Apply the Pythagorean Theorem to 2D & 3D FIgures,520,514,430,520,0.1653846153846153,0.0788461538461538,0.75,"[{""answer_norm"": ""13"", ""n"": 432}, {""answer_norm"": ""169"", ""n"": 36}, {""answer_norm"": ""17"", ""n"": 7}, {""answer_norm"": ""7"", ""n"": 4}, {""answer_norm"": ""14"", ""n"": 3}]",model_dev,
8050,PRABEQAW,1,Fill-in-the-blank(s),Numeric,"a and b represent the length of a leg of a right triangle, and c represents the length of its hypotenuse. Find the missing length, given the other two lengths. a = ? , b = 21 , c = 29 a =","a and b represent the length of a leg of a right triangle, and c represents the length of its hypotenuse. Find the missing length, given the other two lengths. a = ?, b = 21, c = 29 a =",20,geometry_measurement,8.G.B.7,Apply the Pythagorean Theorem to 2D & 3D FIgures,521,515,415,521,0.2034548944337812,0.1151631477927063,0.7658349328214972,"[{""answer_norm"": ""20"", ""n"": 452}, {""answer_norm"": ""8"", ""n"": 16}, {""answer_norm"": ""35"", ""n"": 4}, {""answer_norm"": ""400"", ""n"": 4}, {""answer_norm"": ""10"", ""n"": 3}]",model_dev,
8064,PSBBVU,1,Fill-in-the-blank(s),Numeric,Calculate the difference. 0 . 9 − 0 . 245,Calculate the difference. 0.9 - 0.245,0.655,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",792,778,703,792,0.0997474747474747,0.0479797979797979,0.7954545454545454,"[{""answer_norm"": ""0.655"", ""n"": 526}, {""answer_norm"": "".655"", ""n"": 150}, {""answer_norm"": ""0.755"", ""n"": 13}, {""answer_norm"": ""0.665"", ""n"": 9}, {""answer_norm"": "".665"", ""n"": 7}]",test,
