subjid,prob,resp,strategy,instruction_nl,response_nl
629,3/5:2/5,3/1,"I just guessed for the first one, and chose 3 because I didn't really get it, and then the denominator I chose 1 because 5 divided by 5 is 1",Solve this fraction problem: 3/5:2/5=?,"I just guessed for the first one, and chose 3 because I didn't really get it, and then the denominator I chose 1 because 5 divided by 5 is 1
### answer: 3/1"
629,3/5*2/5,6/25,"I multiplied 3 times 2 equals 6 and 5 times 5 is 25, so I got 6/25",Solve this fraction problem: 3/5*2/5=?,"I multiplied 3 times 2 equals 6 and 5 times 5 is 25, so I got 6/25
### answer: 6/25"
629,3/5*1/2,1 3/10,"I chose the answer 1 3/10 because multiplying usually gives big answers, so I put 1 in the whole place and then 3 times 1 is 3 and 5 times 2 is 10, so I got 3/10",Solve this fraction problem: 3/5*1/2=?,"I chose the answer 1 3/10 because multiplying usually gives big answers, so I put 1 in the whole place and then 3 times 1 is 3 and 5 times 2 is 10, so I got 3/10
### answer: 1 3/10"
629,3/5-2/5,1/5,"I chose 1/5 as my answer and I chose that because 3 minus 2 is 1, and 5 minus 5 is 0 but I picked 5 anyway",Solve this fraction problem: 3/5-2/5=?,"I chose 1/5 as my answer and I chose that because 3 minus 2 is 1, and 5 minus 5 is 0 but I picked 5 anyway
### answer: 1/5"
629,3/5-1/2,2/3,I chose 2/3 as the answer because I didn't really understand it,Solve this fraction problem: 3/5-1/2=?,"I chose 2/3 as the answer because I didn't really understand it
### answer: 2/3"
630,3/5+2/5,1,"I thought 3/5 and 2/5 would be one whole, I guessed on that one",Solve this fraction problem: 3/5+2/5=?,"I thought 3/5 and 2/5 would be one whole, I guessed on that one
### answer: 1"
630,3/5+1/2,2/3,"I didn't know that much about the answer, I thought it'd be around 2/3. I thought it would be like that because if you're adding 3/5 plus 1/2 so it would be higher than 1/2 so I thought it'd be about 2/3",Solve this fraction problem: 3/5+1/2=?,"I didn't know that much about the answer, I thought it'd be around 2/3. I thought it would be like that because if you're adding 3/5 plus 1/2 so it would be higher than 1/2 so I thought it'd be about 2/3
### answer: 2/3"
630,3/5:1/2,3/4,"I didn't really know how much, I forgot how to do division for fractions, so I guessed it was 3/4 because 3 divided by 1 is 3, and it would be like under 1, under 1/2",Solve this fraction problem: 3/5:1/2=?,"I didn't really know how much, I forgot how to do division for fractions, so I guessed it was 3/4 because 3 divided by 1 is 3, and it would be like under 1, under 1/2
### answer: 3/4"
630,3/5:2/5,1/5,"I thought 3 divided by 2 would be, I just thought it would be 1/5 because 5's on the bottom, I thought it would be 5 again",Solve this fraction problem: 3/5:2/5=?,"I thought 3 divided by 2 would be, I just thought it would be 1/5 because 5's on the bottom, I thought it would be 5 again
### answer: 1/5"
630,3/5*2/5,1 1/5,"I thought 3 times 2 would be 6, and you carry the 5 over cause they're both 5 on the bottom. And it would be 1 1/5",Solve this fraction problem: 3/5*2/5=?,"I thought 3 times 2 would be 6, and you carry the 5 over cause they're both 5 on the bottom. And it would be 1 1/5
### answer: 1 1/5"
630,3/5*1/2,3/10,I thought 3 times 1 would be 3 and 5  times 2 would be 10 so I put 3/10,Solve this fraction problem: 3/5*1/2=?,"I thought 3 times 1 would be 3 and 5  times 2 would be 10 so I put 3/10
### answer: 3/10"
630,3/5-2/5,1/5,"I knew that the 5 for the bottom part was the same, cause they're both 5, and 3/5 minus 2/5 would be 1/5",Solve this fraction problem: 3/5-2/5=?,"I knew that the 5 for the bottom part was the same, cause they're both 5, and 3/5 minus 2/5 would be 1/5
### answer: 1/5"
630,3/5-1/2,4/3,"I put 4/3 because 1/2 of, there'sI subtracted 1/2, or 1 2 of 3/5, and I should've did half of 3/5 I think",Solve this fraction problem: 3/5-1/2=?,"I put 4/3 because 1/2 of, there'sI subtracted 1/2, or 1 2 of 3/5, and I should've did half of 3/5 I think
### answer: 4/3"
631,3/5+2/5,5/5,"I got 5/5 or 1, because since both denominators were the same, they didn't add each other up and I multiplied 3 by 2 and that gave me 5, so I got my answer of 5/5 or 1",Solve this fraction problem: 3/5+2/5=?,"I got 5/5 or 1, because since both denominators were the same, they didn't add each other up and I multiplied 3 by 2 and that gave me 5, so I got my answer of 5/5 or 1
### answer: 5/5"
631,3/5+1/2,11/10,"I got my answer because I knew my denominators need to be the same,  so I times 2 by 5 and I times 5 by 2, but since I times the denominators I did the same for the numerators, so I times 1 by 5, and then times 3 by 2, and that gave me 11/10",Solve this fraction problem: 3/5+1/2=?,"I got my answer because I knew my denominators need to be the same,  so I times 2 by 5 and I times 5 by 2, but since I times the denominators I did the same for the numerators, so I times 1 by 5, and then times 3 by 2, and that gave me 11/10
### answer: 11/10"
631,3/5:1/2,1/10,"I got my answer because once again my denominators needed to be the same, so I times the 5 by 2 and 2 by 5, but since I did that to my denominators, I had to do that to my numerator. So I times 5 by 1 and 2 by 3, so then I divided 6/10 by 5/10 and I got 1/10",Solve this fraction problem: 3/5:1/2=?,"I got my answer because once again my denominators needed to be the same, so I times the 5 by 2 and 2 by 5, but since I did that to my denominators, I had to do that to my numerator. So I times 5 by 1 and 2 by 3, so then I divided 6/10 by 5/10 and I got 1/10
### answer: 1/10"
631,3/5:2/5,1/5,"I did not change the denominators cause they were both the same, and you don't change the denominator when they're both the same.  But, then I divided 3 by 2 to get 1, so my answer is 1/5",Solve this fraction problem: 3/5:2/5=?,"I did not change the denominators cause they were both the same, and you don't change the denominator when they're both the same.  But, then I divided 3 by 2 to get 1, so my answer is 1/5
### answer: 1/5"
631,3/5*2/5,6/25,"I figured this out by timesing the numerators of 3 and 2 to get 6, and I times the denominator of 5 and 5 to get 25",Solve this fraction problem: 3/5*2/5=?,"I figured this out by timesing the numerators of 3 and 2 to get 6, and I times the denominator of 5 and 5 to get 25
### answer: 6/25"
631,3/5*1/2,3/10,"I figured this out because I times 3 times 1 and that equals 3, so that was my numerator, and my denominator, I figured that out by timesing, because I times 5 by 2 to get 10",Solve this fraction problem: 3/5*1/2=?,"I figured this out because I times 3 times 1 and that equals 3, so that was my numerator, and my denominator, I figured that out by timesing, because I times 5 by 2 to get 10
### answer: 3/10"
631,3/5-2/5,1/5,"I got my answer by minusing 3/5 by 2/5 which gave me 1/5. I didn't change the denominator because the denominators stay the same, you don't do anything to it",Solve this fraction problem: 3/5-2/5=?,"I got my answer by minusing 3/5 by 2/5 which gave me 1/5. I didn't change the denominator because the denominators stay the same, you don't do anything to it
### answer: 1/5"
631,3/5-1/2,1/10,"Well first the denominators need to be the same, so I times 5 by 2 and 2 by 5, since I times the denominators by something I have to do th same for the numerators , so I times 5 by 1, and 2 by 3, that gave me 6/10 minus 5/10 and that equal 5/10",Solve this fraction problem: 3/5-1/2=?,"Well first the denominators need to be the same, so I times 5 by 2 and 2 by 5, since I times the denominators by something I have to do th same for the numerators , so I times 5 by 1, and 2 by 3, that gave me 6/10 minus 5/10 and that equal 5/10
### answer: 1/10"
632,3/5+2/5,5/10,I put 5/10 because I added 3 and 2 to get 5 and 5 and 5 to get 10,Solve this fraction problem: 3/5+2/5=?,"I put 5/10 because I added 3 and 2 to get 5 and 5 and 5 to get 10
### answer: 5/10"
632,3/5+1/2,4/7,"I got 4/7 because I added 3 and 1 to get 4, and I added 5 and 2 to get 7, and that's how I got 4/7",Solve this fraction problem: 3/5+1/2=?,"I got 4/7 because I added 3 and 1 to get 4, and I added 5 and 2 to get 7, and that's how I got 4/7
### answer: 4/7"
632,3/5:1/2,3/2,"I put 3/2 because when you put 1 and the 3, you put 1 in the 3 three times, and when you put 2 in the 5 it goes two times",Solve this fraction problem: 3/5:1/2=?,"I put 3/2 because when you put 1 and the 3, you put 1 in the 3 three times, and when you put 2 in the 5 it goes two times
### answer: 3/2"
632,3/5:2/5,1/1,"I put 1/1 because I divided 3 and 2 and it can only goes once so I put 1, then I put 5 divided by 5 and it ended up with 1 cause 5 can only go into 5 one time",Solve this fraction problem: 3/5:2/5=?,"I put 1/1 because I divided 3 and 2 and it can only goes once so I put 1, then I put 5 divided by 5 and it ended up with 1 cause 5 can only go into 5 one time
### answer: 1/1"
632,3/5*2/5,6/25,"I timesed 3 by 2 to get 6, and 5 by 5 to get 25",Solve this fraction problem: 3/5*2/5=?,"I timesed 3 by 2 to get 6, and 5 by 5 to get 25
### answer: 6/25"
632,3/5*1/2,4/10,I timesed 1 by 3 and 5 by 2 to get 4/10,Solve this fraction problem: 3/5*1/2=?,"I timesed 1 by 3 and 5 by 2 to get 4/10
### answer: 4/10"
632,3/5-2/5,1/5,"I first got 1/5 because I minus 3 from 2 to get 1, then I both of the bottoms are 5 so I kept it a 5",Solve this fraction problem: 3/5-2/5=?,"I first got 1/5 because I minus 3 from 2 to get 1, then I both of the bottoms are 5 so I kept it a 5
### answer: 1/5"
632,3/5-1/2,2/3,"I did it this way because when you minus 1 from 3 you end up with 2, and when you 5 minus 2 you get 3, and that's why I got 2/3",Solve this fraction problem: 3/5-1/2=?,"I did it this way because when you minus 1 from 3 you end up with 2, and when you 5 minus 2 you get 3, and that's why I got 2/3
### answer: 2/3"
633,3/5+2/5,1,"There was no need to change the denominator, and 3 and 2 the numerators added up to be exactly the same as the denominators so the answer was 1",Solve this fraction problem: 3/5+2/5=?,"There was no need to change the denominator, and 3 and 2 the numerators added up to be exactly the same as the denominators so the answer was 1
### answer: 1"
633,3/5+1/2,1 1/10,"By doing this I found the LCM in 3/5 and 1/2 which was 6/10 and 5/10, and then added them to get 1 1/10",Solve this fraction problem: 3/5+1/2=?,"By doing this I found the LCM in 3/5 and 1/2 which was 6/10 and 5/10, and then added them to get 1 1/10
### answer: 1 1/10"
633,3/5:1/2,1 1/5,"I changed my fractions to decimals, then divided them, and got my answer, changed it back to a fraction and got 1 1/5",Solve this fraction problem: 3/5:1/2=?,"I changed my fractions to decimals, then divided them, and got my answer, changed it back to a fraction and got 1 1/5
### answer: 1 1/5"
633,3/5:2/5,1 1/2,"I changed the fractions to decimals, and then divided these, and then changed my answer back to a fraction to get my answer",Solve this fraction problem: 3/5:2/5=?,"I changed the fractions to decimals, and then divided these, and then changed my answer back to a fraction to get my answer
### answer: 1 1/2"
633,3/5*2/5,6/5,I multiplied the numerator to get 6 and kept the denominators the same to keep the 5ths,Solve this fraction problem: 3/5*2/5=?,"I multiplied the numerator to get 6 and kept the denominators the same to keep the 5ths
### answer: 6/5"
633,3/5*1/2,3,"I multiplied the fractions into their LCM to get 6/10 multiplied, times 5/10, and then that would equal 30/10, then I simplified this to 3",Solve this fraction problem: 3/5*1/2=?,"I multiplied the fractions into their LCM to get 6/10 multiplied, times 5/10, and then that would equal 30/10, then I simplified this to 3
### answer: 3"
633,3/5-2/5,1/5,I figured out that the denominators need not be changed on 3/5 and 2/5 but you must subtract the numerators which were 3 and 2 to equal 1/5 overall,Solve this fraction problem: 3/5-2/5=?,"I figured out that the denominators need not be changed on 3/5 and 2/5 but you must subtract the numerators which were 3 and 2 to equal 1/5 overall
### answer: 1/5"
633,3/5-1/2,1/10,I figured out that 3/5 and 1/2 need to have their denominators and numerators changed to fit the proper fraction so I multiplied 3/5 into 6/10 and 1/2 into 5/10 and then subtracted to get 1/10,Solve this fraction problem: 3/5-1/2=?,"I figured out that 3/5 and 1/2 need to have their denominators and numerators changed to fit the proper fraction so I multiplied 3/5 into 6/10 and 1/2 into 5/10 and then subtracted to get 1/10
### answer: 1/10"
636,3/5+2/5,5/10,I just added again. 401.,Solve this fraction problem: 3/5+2/5=?,"I just added again. 401.
### answer: 5/10"
636,3/5+1/2,4/7,"I just added. Really, to be truthful, 3+1.",Solve this fraction problem: 3/5+1/2=?,"I just added. Really, to be truthful, 3+1.
### answer: 4/7"
636,3/5:1/2,3/2,"How could 3 go into 1? That's why I'm kinda like  You can't put 0 I don't think, so I mean  (laughs). I chose that because I divided 3 times 1 and 5 times 2.",Solve this fraction problem: 3/5:1/2=?,"How could 3 go into 1? That's why I'm kinda like  You can't put 0 I don't think, so I mean  (laughs). I chose that because I divided 3 times 1 and 5 times 2.
### answer: 3/2"
636,3/5:2/5,1/1,I chose that because I divided 3 times 2 and then I did 5 times .. I mean divided by 5.,Solve this fraction problem: 3/5:2/5=?,"I chose that because I divided 3 times 2 and then I did 5 times .. I mean divided by 5.
### answer: 1/1"
636,3/5*2/5,6/10,I chose that because I multiplied 3 times 2 and 5 times 5.,Solve this fraction problem: 3/5*2/5=?,"I chose that because I multiplied 3 times 2 and 5 times 5.
### answer: 6/10"
636,3/5*1/2,3/10,I chose that because I divided 3 times 1 and then I divided 5 times 10.,Solve this fraction problem: 3/5*1/2=?,"I chose that because I divided 3 times 1 and then I divided 5 times 10.
### answer: 3/10"
636,3/5-2/5,1/1,I subtracted 3 minus 2 and 5 minus 5. I don't think you can put a 0.,Solve this fraction problem: 3/5-2/5=?,"I subtracted 3 minus 2 and 5 minus 5. I don't think you can put a 0.
### answer: 1/1"
636,3/5-1/2,2/3,I chose 2/3 because I subtracted 3 minus 1 and then I subtracted 5 minus 2.,Solve this fraction problem: 3/5-1/2=?,"I chose 2/3 because I subtracted 3 minus 1 and then I subtracted 5 minus 2.
### answer: 2/3"
638,3/5+2/5,1,"I added 3/5 and 2/5 and got 1 because I left the denominator 5 and 5 alone which gave me 5, and added the 3 and 2 of the numerator which got 5 also, and that would even out to 1",Solve this fraction problem: 3/5+2/5=?,"I added 3/5 and 2/5 and got 1 because I left the denominator 5 and 5 alone which gave me 5, and added the 3 and 2 of the numerator which got 5 also, and that would even out to 1
### answer: 1"
638,3/5+1/2,4/7,"I added 3/5 and 1/2 and got 4/7 because I added the denominators 5 and 2 to get 7, and added the numerators 3 and 1 to get 4",Solve this fraction problem: 3/5+1/2=?,"I added 3/5 and 1/2 and got 4/7 because I added the denominators 5 and 2 to get 7, and added the numerators 3 and 1 to get 4
### answer: 4/7"
638,3/5:1/2,1 3/4,"I divided 3/5 by 1/2 and got 1 3/4 because 3 divided by 1 is 3, and 5 divided by 2 I have as 4 and I took the remainder and used it for the whole",Solve this fraction problem: 3/5:1/2=?,"I divided 3/5 by 1/2 and got 1 3/4 because 3 divided by 1 is 3, and 5 divided by 2 I have as 4 and I took the remainder and used it for the whole
### answer: 1 3/4"
638,3/5:2/5,1/5,"I have 3/5 divided by 2/5 equalling 1/5 because I left the 5 alone, and divided 3 by 2 giving me 1",Solve this fraction problem: 3/5:2/5=?,"I have 3/5 divided by 2/5 equalling 1/5 because I left the 5 alone, and divided 3 by 2 giving me 1
### answer: 1/5"
638,3/5*2/5,1/2,"I multiplied 3/5 times 2/5 and got 1/2 because I multiplied each number by 1 and got 5/10, so then I split the fraction in half and got 1/2",Solve this fraction problem: 3/5*2/5=?,"I multiplied 3/5 times 2/5 and got 1/2 because I multiplied each number by 1 and got 5/10, so then I split the fraction in half and got 1/2
### answer: 1/2"
638,3/5*1/2,8/14,I multiplied 3/5 times 1/2 and got 8/14 because I multiplied it every number by 2 and got 8/14,Solve this fraction problem: 3/5*1/2=?,"I multiplied 3/5 times 1/2 and got 8/14 because I multiplied it every number by 2 and got 8/14
### answer: 8/14"
638,3/5-2/5,1/5,"First I took the numerators and subtracted them, 3 and 2 to get 1, and then I took the denominators and I kept them the same since they're both 5's and made it 1/5",Solve this fraction problem: 3/5-2/5=?,"First I took the numerators and subtracted them, 3 and 2 to get 1, and then I took the denominators and I kept them the same since they're both 5's and made it 1/5
### answer: 1/5"
638,3/5-1/2,2/3,"First I took the numerators 3 and 1, and subtracted 1 from 3 to get 2, and then I took the denominators 5 and 2 to get 3, and I ended up with 2/3",Solve this fraction problem: 3/5-1/2=?,"First I took the numerators 3 and 1, and subtracted 1 from 3 to get 2, and then I took the denominators 5 and 2 to get 3, and I ended up with 2/3
### answer: 2/3"
639,3/5+2/5,5/5,"I took the lowest common denominator, which was 5, then added 3 plus 2 to get 5",Solve this fraction problem: 3/5+2/5=?,"I took the lowest common denominator, which was 5, then added 3 plus 2 to get 5
### answer: 5/5"
639,3/5+1/2,1/2,"I did not know this answer, so I took my best guess",Solve this fraction problem: 3/5+1/2=?,"I did not know this answer, so I took my best guess
### answer: 1/2"
639,3/5:1/2,3/4,"First I took 3/5 divided by 1/2 to get the lowest common denominator, which was 4, then I took 4 and multiplied 4 times 1 and 4 times 3, to get 12 and 4, then I took 12 divided by 4 to get 3",Solve this fraction problem: 3/5:1/2=?,"First I took 3/5 divided by 1/2 to get the lowest common denominator, which was 4, then I took 4 and multiplied 4 times 1 and 4 times 3, to get 12 and 4, then I took 12 divided by 4 to get 3
### answer: 3/4"
639,3/5:2/5,6/5,"I took the lowest common denominator, which was 5, then I multiplied 2 times 3 to get 6",Solve this fraction problem: 3/5:2/5=?,"I took the lowest common denominator, which was 5, then I multiplied 2 times 3 to get 6
### answer: 6/5"
639,3/5*2/5,1/2,"I did not know this answer, so I took my best guess",Solve this fraction problem: 3/5*2/5=?,"I did not know this answer, so I took my best guess
### answer: 1/2"
639,3/5*1/2,3/5,I did not know this answer,Solve this fraction problem: 3/5*1/2=?,"I did not know this answer
### answer: 3/5"
639,3/5-2/5,6/5,"I took the lowest common denominator, which was 5, then I multiplied 3 times 2 to get, wait I messed up. I multiplied 3 times 2 to get 6, but I should've added 3 plus 2 to get 5",Solve this fraction problem: 3/5-2/5=?,"I took the lowest common denominator, which was 5, then I multiplied 3 times 2 to get, wait I messed up. I multiplied 3 times 2 to get 6, but I should've added 3 plus 2 to get 5
### answer: 6/5"
639,3/5-1/2,4/4,"I did not know this answer, so I took my best guess. First I subtracted 3/5 and 1/2 to get the lowest common denominator, 4, and  then I multiplied 20 times 8 to get 160, then I divided 160 by 4",Solve this fraction problem: 3/5-1/2=?,"I did not know this answer, so I took my best guess. First I subtracted 3/5 and 1/2 to get the lowest common denominator, 4, and  then I multiplied 20 times 8 to get 160, then I divided 160 by 4
### answer: 4/4"
640,3/5+2/5,1,"I got one whole as my fraction because 3 plus 2 equals 5, and 5 plus 5 equals 0, and a fraction, or 5 I mean and a fraction, and if you add them together it'd equal one whole",Solve this fraction problem: 3/5+2/5=?,"I got one whole as my fraction because 3 plus 2 equals 5, and 5 plus 5 equals 0, and a fraction, or 5 I mean and a fraction, and if you add them together it'd equal one whole
### answer: 1"
640,3/5+1/2,4/7,"I got 4/7 by adding 3 to 1, and 5 to 2, which equals 4/7",Solve this fraction problem: 3/5+1/2=?,"I got 4/7 by adding 3 to 1, and 5 to 2, which equals 4/7
### answer: 4/7"
640,3/5:1/2,3,"I divided 3 divided by 1 which equals 1, or 3, and 5 divided by 2 which equals 2 remainder 1 so I added 3 plus 2 and I divided 3 and 2 and I got 2 remainder 1",Solve this fraction problem: 3/5:1/2=?,"I divided 3 divided by 1 which equals 1, or 3, and 5 divided by 2 which equals 2 remainder 1 so I added 3 plus 2 and I divided 3 and 2 and I got 2 remainder 1
### answer: 3"
640,3/5:2/5,2 1/2,"I divided 3 by 3 and that equaled, 2 divided by 3 and that equaled 1 remainder 1, and  then I divided 5 by 5 and that equaled 1, and then I added 1 and 1 together and that equaled 2 and remainder, so it would be 2, and I thought it should be 2 and 1",Solve this fraction problem: 3/5:2/5=?,"I divided 3 by 3 and that equaled, 2 divided by 3 and that equaled 1 remainder 1, and  then I divided 5 by 5 and that equaled 1, and then I added 1 and 1 together and that equaled 2 and remainder, so it would be 2, and I thought it should be 2 and 1
### answer: 2 1/2"
640,3/5*2/5,6/25,"I got 6/25 because I multiplied 3 times 2 and that equals 6, and 5 times 5 equals 25, to get 6/25",Solve this fraction problem: 3/5*2/5=?,"I got 6/25 because I multiplied 3 times 2 and that equals 6, and 5 times 5 equals 25, to get 6/25
### answer: 6/25"
